SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
HALDER,BE,19-01-2026,259.4,272.37,272.37,272.3,272.37,272.37,272.37,"18,203","49,57,933.46",58,-,-
HALDER,BE,20-01-2026,272.37,275.0,285.98,272.0,283.0,282.31,281.94,11897,33.54,165, -, -
HALDER,BE,21-01-2026,282.31,287.96,287.96,269.01,280.0,277.15,280.08,1694,4.74,169, -, -
HALDER,BE,22-01-2026,277.15,281.0,291.0,281.0,285.0,284.25,288.51,10246,29.56,108, -, -
HALDER,BE,23-01-2026,284.25,284.2,285.0,280.0,280.0,280.0,280.6,279,0.78,17, -, -
HALDER,BE,27-01-2026,280.0,267.1,286.0,267.1,267.15,267.22,278.47,504,1.4,29, -, -
HALDER,BE,28-01-2026,267.22,268.02,280.58,268.02,280.0,280.0,279.74,181,0.51,11, -, -
HALDER,BE,29-01-2026,280.0,294.0,294.0,270.0,273.1,273.02,273.7,907,2.48,31, -, -
HALDER,BE,30-01-2026,273.02,273.02,278.95,261.5,269.9,269.74,266.57,1029,2.74,32, -, -
HALDER,BE,01-02-2026,269.74,271.8,271.8,263.7,263.7,265.55,268.22,425,1.14,13, -, -
HALDER,BE,02-02-2026,265.55,263.7,278.7,263.7,274.95,274.9,274.74,472,1.3,18, -, -
HALDER,BE,03-02-2026,274.9,274.0,282.85,274.0,274.0,274.0,274.55,158,0.43,5, -, -
HALDER,BE,04-02-2026,274.0,274.0,275.35,274.0,274.0,274.95,274.16,125,0.34,8, -, -
HALDER,BE,05-02-2026,274.95,272.2,288.0,272.2,284.95,282.1,285.69,2033,5.81,43, -, -
HALDER,BE,06-02-2026,282.1,282.1,282.1,269.1,280.0,272.3,275.68,668,1.84,31, -, -
HALDER,BE,09-02-2026,272.3,272.3,274.0,266.3,266.6,272.2,272.05,215,0.58,21, -, -
HALDER,BE,10-02-2026,272.2,271.95,271.95,265.5,266.0,266.05,267.37,870,2.33,26, -, -
HALDER,BE,11-02-2026,266.05,279.0,279.0,260.05,272.95,263.0,273.09,532,1.45,18, -, -
HALDER,BE,12-02-2026,263.0,263.0,271.0,263.0,269.45,269.45,264.97,257,0.68,10, -, -
HALDER,BE,13-02-2026,269.45,257.45,279.0,257.45,258.5,259.7,268.68,255,0.69,14, -, -
HALDER,BE,16-02-2026,259.7,264.95,268.0,250.95,259.9,259.9,262.71,647,1.7,13, -, -
HALDER,BE,17-02-2026,259.9,258.9,258.9,250.5,255.9,255.9,256.72,574,1.47,20, -, -
HALDER,BE,18-02-2026,255.9,255.9,255.9,251.25,251.35,251.35,251.64,151,0.38,13, -, -
HALDER,BE,19-02-2026,251.35,259.5,259.5,252.5,259.5,258.1,259.44,481,1.25,21, -, -
HALDER,BE,20-02-2026,258.1,257.9,257.9,257.9,257.9,257.9,257.9,21,0.05,2, -, -
HALDER,BE,23-02-2026,257.9,259.0,260.0,250.5,251.0,251.0,254.74,115,0.29,13, -, -
HALDER,EQ,24-02-2026,251.0,250.0,262.75,245.0,252.0,251.35,249.93,299,0.75,33, 293, 97.99
HALDER,EQ,25-02-2026,251.35,252.0,252.0,238.8,250.0,248.1,245.94,3985,9.8,136, 3554, 89.18
HALDER,EQ,26-02-2026,248.1,255.0,255.0,235.7,255.0,255.0,243.66,2289,5.58,54, 2159, 94.32
HALDER,EQ,27-02-2026,255.0,255.0,255.0,245.0,250.0,250.25,249.38,1047,2.61,38, 1030, 98.38
